feature,importance
horizon,15.6584040820043
year_cos,8.497787437086725
year_sin,6.591112284493056
power_age_1h,6.0863824037785355
year_sin2,6.017284622562885
temperature_max_168h,5.001356039808058
power_last_observed,4.630810103972418
wind_speed_mean_72h,3.7559578714849886
temperature_min_168h,3.69726988132535
temperature_mean_168h,3.440522716898732
year_cos2,3.411988319011432
wind_speed_max_168h,3.4049698140553746
wind_speed_age_1h,2.555385560004249
month,2.5448997905448993
wind_speed_min_168h,2.368466678287655
temperature_std_168h,2.359489225920927
day_sin,2.0753163660889826
wind_speed_last_observed,1.9145224249649113
temperature_min_72h,1.8482093479517172
wind_speed_min_72h,1.682661380661387
power_max_72h,1.498256777867221
temperature_std_24h,1.2896744358075232
wind_speed_max_72h,1.158658974623283
power_std_168h,0.8586191548082893
power_min_168h,0.8386249185244619
power_min_24h,0.6139789017608052
wind_speed_mean_168h,0.4891736610505909
temperature_max_24h,0.4853867344254438
power_coverage_168h,0.4540794302244698
wind_speed_std_168h,0.4387759451291463
temperature_coverage_168h,0.4081536955412411
temperature_max_72h,0.40231782373270353
wind_speed_coverage_168h,0.3035660144259995
wind_speed_std_6h,0.2993557387377603
day_cos,0.26903555531846224
wind_speed_max_24h,0.23288723094540337
temperature_max_6h,0.21534850221228583
power_max_168h,0.19894151804205315
power_max_6h,0.19726348444557987
temperature_age_168h,0.19060598094607759
power_mean_72h,0.17705581542525764
temperature_last_observed,0.166165234600058
power_min_72h,0.15480148706176058
temperature_age_1h,0.15398826510705405
power_std_72h,0.13112490249123718
temperature_std_72h,0.12975383845318783
power_std_24h,0.1001347839692239
temperature_std_6h,0.09726243513709039
power_mean_6h,0.09696665694914018
power_min_6h,0.09223587781789998
wind_speed_age_12h,0.08633226899026535
wind_speed_age_168h,0.08584724639368484
temperature_age_72h,0.07584686112648652
temperature_age_6h,0.06698349700228967
temperature_coverage_6h,0.0
power_max_24h,0.0
temperature_min_24h,0.0
wind_speed_age_last_observed,0.0
temperature_coverage_24h,0.0
temperature_mean_72h,0.0
wind_speed_age_6h,0.0
power_mean_24h,0.0
power_coverage_6h,0.0
temperature_coverage_72h,0.0
wind_speed_coverage_24h,0.0
wind_speed_age_72h,0.0
power_std_6h,0.0
wind_speed_age_48h,0.0
power_age_last_observed,0.0
power_age_168h,0.0
power_age_72h,0.0
power_age_48h,0.0
power_age_24h,0.0
power_age_12h,0.0
power_age_6h,0.0
power_age_3h,0.0
temperature_mean_24h,0.0
wind_speed_mean_6h,0.0
wind_speed_age_2h,0.0
wind_speed_coverage_6h,0.0
wind_speed_std_72h,0.0
power_age_2h,0.0
power_mean_168h,0.0
wind_speed_coverage_72h,0.0
power_coverage_72h,0.0
wind_speed_min_24h,0.0
wind_speed_std_24h,0.0
wind_speed_mean_24h,0.0
power_coverage_24h,0.0
temperature_age_2h,0.0
temperature_min_6h,0.0
temperature_age_3h,0.0
temperature_age_12h,0.0
temperature_age_24h,0.0
wind_speed_age_24h,0.0
wind_speed_max_6h,0.0
wind_speed_min_6h,0.0
temperature_age_last_observed,0.0
temperature_mean_6h,0.0
wind_speed_age_3h,0.0
temperature_age_48h,0.0
