feature,importance
horizon,12.948931477401
year_cos,5.927249565212382
year_sin2,5.15738403327231
wind_speed_min_168h,4.718789082222329
month,4.656046168174556
year_sin,4.2640482289784325
wind_speed_max_168h,3.8193623761862985
power_age_1h,3.808619352963176
temperature_min_168h,3.4740898556492756
temperature_std_168h,3.1568874216359863
power_last_observed,3.139507043032519
day_sin,3.0755138024436945
wind_speed_age_1h,2.8348972667110908
power_max_168h,2.8127707454729656
wind_speed_last_observed,2.6975244045952826
wind_speed_mean_168h,2.5100232777679823
temperature_mean_168h,1.9504557975409644
temperature_max_72h,1.9143743643358346
power_min_168h,1.9043486601298727
year_cos2,1.7077077312626177
wind_speed_max_72h,1.6734116047783802
day_cos,1.6562460182024503
temperature_min_72h,1.5513444048256575
wind_speed_mean_72h,1.5350885047692842
wind_speed_min_72h,1.4272851012327306
power_max_72h,1.343783261914569
temperature_std_24h,1.3338254364199085
temperature_max_24h,1.2725666817573311
wind_speed_coverage_168h,0.9760059214714304
power_max_24h,0.970213154463685
temperature_max_168h,0.944423636414215
temperature_coverage_168h,0.8095200343985262
power_std_72h,0.7912549559869639
power_mean_72h,0.7389514765650799
power_coverage_168h,0.7286050357118763
power_std_168h,0.7051882561231625
power_mean_168h,0.48308608678660264
power_coverage_72h,0.46868562655393115
temperature_mean_72h,0.42083359784844365
temperature_coverage_72h,0.3964318869386627
wind_speed_std_72h,0.3719922040570523
temperature_min_24h,0.3479255037999914
temperature_age_1h,0.3164625211085127
wind_speed_coverage_72h,0.2994633721887293
wind_speed_std_168h,0.2949026190563457
wind_speed_max_24h,0.25663550937008
power_max_6h,0.1813917617553897
temperature_std_72h,0.1666578175269663
temperature_mean_6h,0.1555600342655531
temperature_age_6h,0.1553363175258759
wind_speed_std_6h,0.14809049449951636
temperature_std_6h,0.1412731029162871
temperature_mean_24h,0.13881215798654803
temperature_age_72h,0.09756338470345448
temperature_age_168h,0.09126852713214532
power_mean_6h,0.06602878265350562
power_min_24h,0.06535455130259914
power_age_3h,0.0
temperature_min_6h,0.0
temperature_max_6h,0.0
temperature_coverage_6h,0.0
power_coverage_24h,0.0
power_std_6h,0.0
power_age_6h,0.0
power_age_24h,0.0
power_age_48h,0.0
temperature_coverage_24h,0.0
power_age_72h,0.0
power_age_168h,0.0
power_age_last_observed,0.0
power_min_6h,0.0
power_age_12h,0.0
wind_speed_age_3h,0.0
temperature_age_last_observed,0.0
temperature_last_observed,0.0
wind_speed_age_12h,0.0
wind_speed_age_24h,0.0
wind_speed_age_48h,0.0
wind_speed_age_72h,0.0
wind_speed_age_168h,0.0
wind_speed_age_last_observed,0.0
wind_speed_mean_6h,0.0
wind_speed_min_6h,0.0
wind_speed_max_6h,0.0
wind_speed_coverage_6h,0.0
wind_speed_mean_24h,0.0
wind_speed_std_24h,0.0
wind_speed_min_24h,0.0
power_age_2h,0.0
wind_speed_coverage_24h,0.0
wind_speed_age_2h,0.0
power_std_24h,0.0
power_mean_24h,0.0
power_coverage_6h,0.0
power_min_72h,0.0
temperature_age_2h,0.0
temperature_age_3h,0.0
temperature_age_12h,0.0
wind_speed_age_6h,0.0
temperature_age_48h,0.0
temperature_age_24h,0.0
