turbine_id,model,horizon,n,origins,mae,rmse
1,catboost,1-48h,1440,30,0.3119161021509936,0.3491893775589685
1,catboost,1-24h,720,30,0.2988128101807581,0.3369108711471527
1,catboost,25-48h,720,30,0.32501939412122904,0.36105056114470513
1,catboost_direct,1-48h,1440,30,0.3014295612237875,0.3437372192344641
1,catboost_direct,1-24h,720,30,0.2823982936700132,0.3295061281372063
1,catboost_direct,25-48h,720,30,0.3204608287775618,0.35740210309133746
1,catboost_direct_missing,1-48h,1440,30,0.30348083399195547,0.34628586574016357
1,catboost_direct_missing,1-24h,720,30,0.2845105945013221,0.3325434126440125
1,catboost_direct_missing,25-48h,720,30,0.32245107348258883,0.35950338013696514
1,context_mean,1-48h,1440,30,0.29515109678130513,0.3488415672675891
1,context_mean,1-24h,720,30,0.2963586033950617,0.3507858974951716
1,context_mean,25-48h,720,30,0.2939435901675485,0.3468863390592411
1,persistence,1-48h,1440,30,0.33449768518518513,0.45799798758924964
1,persistence,1-24h,720,30,0.3084837962962963,0.443567602924512
1,persistence,25-48h,720,30,0.3605115740740741,0.4719873885046161
1,sarimax,1-48h,1440,30,0.3047148350663287,0.34619872995691997
1,sarimax,1-24h,720,30,0.2849748039071627,0.3346795014291256
1,sarimax,25-48h,720,30,0.3244548662254948,0.3573468239270089
1,sarimax_direct_missing,1-48h,1440,30,0.3023181452891582,0.34388577565465167
1,sarimax_direct_missing,1-24h,720,30,0.2832090445806638,0.33266518769937353
1,sarimax_direct_missing,25-48h,720,30,0.3214272459976526,0.3547516402895742
2,catboost,1-48h,1440,30,0.3125855971068668,0.3515609104391192
2,catboost,1-24h,720,30,0.3013841781696764,0.34141195593491885
2,catboost,25-48h,720,30,0.3237870160440573,0.361424990616667
2,catboost_direct,1-48h,1440,30,0.29736016490160916,0.33961445925731915
2,catboost_direct,1-24h,720,30,0.2815354251460126,0.3290251167962517
2,catboost_direct,25-48h,720,30,0.31318490465720566,0.34988345829789597
2,catboost_direct_missing,1-48h,1440,30,0.3005357023362599,0.3436101541548591
2,catboost_direct_missing,1-24h,720,30,0.2840981406541071,0.3320251399679818
2,catboost_direct_missing,25-48h,720,30,0.31697326401841275,0.35481711134878235
2,context_mean,1-48h,1440,30,0.29400509810405645,0.34737553940793314
2,context_mean,1-24h,720,30,0.29473263888888884,0.3485729478865135
2,context_mean,25-48h,720,30,0.29327755731922395,0.3461739891436255
2,persistence,1-48h,1440,30,0.3316701388888889,0.45539406648202724
2,persistence,1-24h,720,30,0.30797685185185186,0.4438380237857328
2,persistence,25-48h,720,30,0.35536342592592585,0.46666403355738634
2,sarimax,1-48h,1440,30,0.30217438905481386,0.3432415649241246
2,sarimax,1-24h,720,30,0.28391564776270106,0.3329247811583353
2,sarimax,25-48h,720,30,0.3204331303469267,0.35325717809239016
2,sarimax_direct_missing,1-48h,1440,30,0.3019961504786759,0.34304798559143773
2,sarimax_direct_missing,1-24h,720,30,0.28386736501129456,0.3327670803978272
2,sarimax_direct_missing,25-48h,720,30,0.3201249359460571,0.35302961779458747
